É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2026/05/16 06:05:29

,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq
2026/4/29 8:00:00,15.0,8,1,0,1,8,1,,,1,1,0.0,0,8,1,4.3,8,ñk,8,1,,0,1,79,8,1,13.5,8,1,4,8,1,,0,1,20.0,8,1
2026/4/29 9:00:00,15.3,8,1,0,1,8,1,,,1,1,0.0,0,8,1,3.3,8,ñkñkêº,8,1,,0,1,72,8,1,12.5,8,1,4,8,1,,0,1,20.0,8,1
2026/4/29 10:00:00,15.9,8,1,0,1,8,1,,,1,1,0.0,0,8,1,2.7,8,ñk,8,1,,0,1,68,8,1,12.3,8,1,4,8,1,,0,1,20.0,8,1
2026/4/29 11:00:00,15.8,8,1,0,1,8,1,,,1,1,0.0,0,8,1,3.5,8,ñkñkìå,8,1,,0,1,71,8,1,12.7,8,1,4,8,1,,0,1,20.0,8,1
2026/4/29 12:00:00,15.7,8,1,0,1,8,1,,,1,1,0.0,0,8,1,4.0,8,ñk,8,1,,0,1,69,8,1,12.3,8,1,4,8,1,,0,1,20.0,8,1
2026/4/29 13:00:00,15.7,8,1,0,1,8,1,,,1,1,0.0,0,8,1,3.8,8,ñk,8,1,,0,1,65,8,1,11.6,8,1,4,8,1,,0,1,20.0,8,1
2026/4/29 14:00:00,15.5,8,1,0,1,8,1,,,1,1,0.0,0,8,1,3.5,8,ñkñkìå,8,1,,0,1,64,8,1,11.3,8,1,4,8,1,,0,1,20.0,8,1
2026/4/29 15:00:00,15.8,8,1,0,1,8,1,,,1,1,0.0,0,8,1,3.4,8,ñkñkìå,8,1,,0,1,63,8,1,11.3,8,1,4,8,1,,0,1,20.0,8,1
2026/4/29 16:00:00,15.6,8,1,0,1,8,1,,,1,1,0.0,0,8,1,2.0,8,ñkñkìå,8,1,,0,1,63,8,1,11.2,8,1,4,8,1,,0,1,20.0,8,1
2026/4/29 17:00:00,14.8,8,1,0,1,8,1,,,1,1,0.0,0,8,1,1.8,8,ñkñkìå,8,1,,0,1,66,8,1,11.1,8,1,4,8,1,,0,1,20.0,8,1
2026/4/29 18:00:00,14.8,8,1,0,1,8,1,,,1,1,0.0,0,8,1,1.7,8,ñkñkìå,8,1,,0,1,65,8,1,10.9,8,1,4,8,1,,0,1,20.0,8,1
2026/4/29 19:00:00,14.4,8,1,0,1,8,1,,,1,1,0.0,0,8,1,1.4,8,ñkìå,8,1,,0,1,67,8,1,11.0,8,1,4,8,1,,0,1,20.0,8,1
2026/4/29 20:00:00,14.4,8,1,0,1,8,1,,,1,1,0,1,8,1,1.3,8,ñkñkìå,8,1,,0,1,67,8,1,11.0,8,1,4,8,1,,0,1,20.0,8,1
2026/4/29 21:00:00,13.7,8,1,0,1,8,1,,,1,1,0,1,8,1,0.7,8,ìåìÏìå,8,1,,0,1,74,8,1,11.6,8,1,4,8,1,,0,1,20.0,8,1
2026/4/29 22:00:00,13.3,8,1,0,1,8,1,,,1,1,0,1,8,1,1.1,8,ñkñkìå,8,1,,0,1,80,8,1,12.2,8,1,4,8,1,,0,1,20.0,8,1
2026/4/29 23:00:00,12.5,8,1,0,1,8,1,,,1,1,0,1,8,1,0.5,8,ìÏìÏìå,8,1,,0,1,84,8,1,12.2,8,1,4,8,1,,0,1,20.0,8,1
2026/4/30 00:00:00,12.1,8,1,0,1,8,1,,,1,1,0,1,8,1,1.3,8,ìÏìå,8,1,,0,1,87,8,1,12.3,8,1,4,8,1,,0,1,20.0,8,1
2026/4/30 1:00:00,11.9,8,1,0,1,8,1,,,1,1,0,1,8,1,1.3,8,ìåìÏìå,8,1,,0,1,88,8,1,12.3,8,1,4,8,1,,0,1,20.0,8,1
2026/4/30 2:00:00,11.7,8,1,0,1,8,1,,,1,1,0,1,8,1,1.2,8,ìÏìÏìå,8,1,,0,1,86,8,1,11.8,8,1,4,8,1,,0,1,20.0,8,1
2026/4/30 3:00:00,11.8,8,1,0,1,8,1,,,1,1,0,1,8,1,1.1,8,ìåìÏìå,8,1,,0,1,85,8,1,11.8,8,1,4,8,1,,0,1,20.0,8,1
2026/4/30 4:00:00,11.7,8,1,0,1,8,1,,,1,1,0,1,8,1,1.4,8,ìÏìå,8,1,,0,1,87,8,1,12.0,8,1,4,8,1,,0,1,20.0,8,1
2026/4/30 5:00:00,11.5,8,1,0.0,0,8,1,,,1,1,0,1,8,1,0.9,8,ìÏìå,8,1,,0,1,88,8,1,11.9,8,1,10,8,1,,0,1,20.0,8,1
2026/4/30 6:00:00,11.6,8,1,0.0,0,8,1,,,1,1,0.0,0,8,1,0.9,8,ìÏìå,8,1,,0,1,91,8,1,12.4,8,1,10,8,1,,0,1,20.0,8,1
2026/4/30 7:00:00,11.7,8,1,0.5,0,8,1,,,1,1,0.0,0,8,1,1.8,8,ìÏìÏìå,8,1,,0,1,90,8,1,12.4,8,1,10,8,1,,0,1,20.0,8,1
2026/4/30 8:00:00,12.3,8,1,0.0,0,8,1,,,1,1,0.0,0,8,1,1.1,8,ìÏìÏìå,8,1,,0,1,90,8,1,12.9,8,1,10,8,1,,0,1,20.0,8,1
2026/4/30 9:00:00,12.9,8,1,0.0,0,8,1,,,1,1,0.0,0,8,1,1.8,8,ìÏìÏìå,8,1,,0,1,87,8,1,12.9,8,1,10,8,1,,0,1,20.0,8,1
2026/4/30 10:00:00,13.9,8,1,0.5,0,8,1,,,1,1,0.0,0,8,1,1.6,8,ìå,8,1,,0,1,86,8,1,13.7,8,1,10,8,1,,0,1,20.0,8,1
2026/4/30 11:00:00,14.1,8,1,0.0,0,8,1,,,1,1,0.0,0,8,1,1.4,8,ñkìå,8,1,,0,1,76,8,1,12.2,8,1,10,8,1,,0,1,20.0,8,1
2026/4/30 12:00:00,14.9,8,1,0.0,0,8,1,,,1,1,0.0,0,8,1,2.1,8,ñkìå,8,1,,0,1,74,8,1,12.5,8,1,10,8,1,,0,1,20.0,8,1
2026/4/30 13:00:00,16.0,8,1,0.0,0,8,1,,,1,1,0.0,0,8,1,2.1,8,ñkñkìå,8,1,,0,1,72,8,1,13.1,8,1,4,8,1,,0,1,20.0,8,1
2026/4/30 14:00:00,16.0,8,1,0,1,8,1,,,1,1,0.0,0,8,1,2.2,8,ñkñkìå,8,1,,0,1,75,8,1,13.6,8,1,4,8,1,,0,1,20.0,8,1
2026/4/30 15:00:00,15.4,8,1,0.0,0,8,1,,,1,1,0.0,0,8,1,2.3,8,ìåñkìå,8,1,,0,1,82,8,1,14.3,8,1,10,8,1,,0,1,20.0,8,1
2026/4/30 16:00:00,15.4,8,1,0.5,0,8,1,,,1,1,0.0,0,8,1,2.4,8,ñkìå,8,1,,0,1,82,8,1,14.3,8,1,10,8,1,,0,1,20.0,8,1
2026/4/30 17:00:00,15.3,8,1,0.0,0,8,1,,,1,1,0.0,0,8,1,2.0,8,ìåñkìå,8,1,,0,1,84,8,1,14.6,8,1,10,8,1,,0,1,20.0,8,1
2026/4/30 18:00:00,15.2,8,1,0.0,0,8,1,,,1,1,0.0,0,8,1,1.8,8,ìåñkìå,8,1,,0,1,84,8,1,14.5,8,1,4,8,1,,0,1,20.0,8,1
2026/4/30 19:00:00,15.1,8,1,0.0,0,8,1,,,1,1,0.0,0,8,1,1.7,8,ñkñkêº,8,1,,0,1,85,8,1,14.6,8,1,10,8,1,,0,1,20.0,8,1
2026/4/30 20:00:00,15.2,8,1,0.0,0,8,1,,,1,1,0,1,8,1,0.6,8,ñkêº,8,1,,0,1,89,8,1,15.4,8,1,10,8,1,,0,1,20.0,8,1
2026/4/30 21:00:00,15.1,8,1,0.5,0,8,1,,,1,1,0,1,8,1,1.4,8,ñkìå,8,1,,0,1,90,8,1,15.4,8,1,10,8,1,,0,1,20.0,8,1
2026/4/30 22:00:00,15.1,8,1,0.0,0,8,1,,,1,1,0,1,8,1,2.1,8,ìåñkìå,8,1,,0,1,90,8,1,15.4,8,1,10,8,1,,0,1,16.7,8,1
2026/4/30 23:00:00,15.4,8,1,0.5,0,8,1,,,1,1,0,1,8,1,1.9,8,ìåñkìå,8,1,,0,1,91,8,1,15.9,8,1,10,8,1,,0,1,15.6,8,1
2026/5/1 00:00:00,15.1,8,1,0.0,0,8,1,,,1,1,0,1,8,1,0.5,8,ìåñkìå,8,1,,0,1,93,8,1,16.0,8,1,10,8,1,,0,1,20.0,8,1
2026/5/1 1:00:00,15.1,8,1,0.0,0,8,1,,,1,1,0,1,8,1,1.2,8,êº,8,1,,0,1,94,8,1,16.1,8,1,4,8,1,,0,1,20.0,8,1
2026/5/1 2:00:00,15.3,8,1,0,1,8,1,,,1,1,0,1,8,1,1.2,8,êº,8,1,,0,1,94,8,1,16.3,8,1,4,8,1,,0,1,20.0,8,1
2026/5/1 3:00:00,15.6,8,1,0.0,0,8,1,,,1,1,0,1,8,1,1.1,8,ñk,8,1,,0,1,94,8,1,16.7,8,1,10,8,1,,0,1,18.8,8,1
2026/5/1 4:00:00,15.5,8,1,0.0,0,8,1,,,1,1,0,1,8,1,0.8,8,ìÏêº,8,1,,0,1,95,8,1,16.7,8,1,4,8,1,,0,1,18.1,8,1
2026/5/1 5:00:00,15.4,8,1,0.5,0,8,1,,,1,1,0,1,8,1,2.7,8,êº,8,1,,0,1,95,8,1,16.6,8,1,10,8,1,,0,1,8.14,8,1
2026/5/1 6:00:00,15.0,8,1,2.5,0,8,1,,,1,1,0.0,0,8,1,1.9,8,êºìÏêº,8,1,,0,1,96,8,1,16.4,8,1,10,8,1,,0,1,6.48,8,1
2026/5/1 7:00:00,15.0,8,1,2.0,0,8,1,,,1,1,0.0,0,8,1,1.9,8,ìÏ,8,1,,0,1,96,8,1,16.4,8,1,10,8,1,,0,1,20.0,8,1
2026/5/1 8:00:00,15.6,8,1,0.0,0,8,1,,,1,1,0.0,0,8,1,4.2,8,ìÏêº,8,1,,0,1,91,8,1,16.1,8,1,4,8,1,,0,1,20.0,8,1
2026/5/1 9:00:00,14.5,8,1,1.5,0,8,1,,,1,1,0.0,0,8,1,6.3,8,êº,8,1,,0,1,89,8,1,14.7,8,1,10,8,1,,0,1,14.6,8,1
2026/5/1 10:00:00,13.9,8,1,0.5,0,8,1,,,1,1,0.0,0,8,1,4.7,8,êº,8,1,,0,1,89,8,1,14.1,8,1,10,8,1,,0,1,8.66,8,1
2026/5/1 11:00:00,14.0,8,1,0.0,0,8,1,,,1,1,0.1,0,8,1,4.2,8,êº,8,1,,0,1,88,8,1,14.1,8,1,10,8,1,,0,1,10.4,8,1
2026/5/1 12:00:00,14.8,8,1,0.5,0,8,1,,,1,1,0.1,0,8,1,5.7,8,êº,8,1,,0,1,81,8,1,13.6,8,1,4,8,1,,0,1,20.0,8,1
2026/5/1 13:00:00,14.8,8,1,0.0,0,8,1,,,1,1,0.1,0,8,1,6.3,8,êº,8,1,,0,1,77,8,1,13.0,8,1,4,8,1,,0,1,20.0,8,1
2026/5/1 14:00:00,14.4,8,1,0.0,0,8,1,,,1,1,0.1,0,8,1,5.9,8,êºìÏêº,8,1,,0,1,74,8,1,12.1,8,1,4,8,1,,0,1,20.0,8,1
2026/5/1 15:00:00,12.9,8,1,0.0,0,8,1,,,1,1,0.0,0,8,1,4.9,8,êºìÏêº,8,1,,0,1,79,8,1,11.8,8,1,10,8,1,,0,1,20.0,8,1
2026/5/1 16:00:00,12.6,8,1,0.0,0,8,1,,,1,1,0.0,0,8,1,4.4,8,ìÏêº,8,1,,0,1,84,8,1,12.3,8,1,10,8,1,,0,1,16.4,8,1
2026/5/1 17:00:00,12.5,8,1,1.0,0,8,1,,,1,1,0.0,0,8,1,5.2,8,êºìÏêº,8,1,,0,1,89,8,1,12.9,8,1,10,8,1,,0,1,13.3,8,1
2026/5/1 18:00:00,12.5,8,1,1.5,0,8,1,,,1,1,0.0,0,8,1,6.2,8,êº,8,1,,0,1,90,8,1,13.0,8,1,10,8,1,,0,1,5.39,8,1
2026/5/1 19:00:00,12.5,8,1,1.0,0,8,1,,,1,1,0.0,0,8,1,6.7,8,êº,8,1,,0,1,92,8,1,13.3,8,1,10,8,1,,0,1,4.42,8,1
2026/5/1 20:00:00,13.1,8,1,0.5,0,8,1,,,1,1,0,1,8,1,6.1,8,êº,8,1,,0,1,92,8,1,13.9,8,1,10,8,1,,0,1,7.05,8,1
2026/5/1 21:00:00,13.4,8,1,1.0,0,8,1,,,1,1,0,1,8,1,5.4,8,êº,8,1,,0,1,93,8,1,14.3,8,1,10,8,1,,0,1,8.52,8,1
2026/5/1 22:00:00,13.9,8,1,0.0,0,8,1,,,1,1,0,1,8,1,3.6,8,êº,8,1,,0,1,88,8,1,14.0,8,1,4,8,1,,0,1,20.0,8,1
2026/5/1 23:00:00,13.5,8,1,0,1,8,1,,,1,1,0,1,8,1,2.1,8,êº,8,1,,0,1,85,8,1,13.2,8,1,2,8,1,,0,1,20.0,8,1
2026/5/2 00:00:00,11.7,8,1,0,1,8,1,,,1,1,0,1,8,1,2.3,8,ìÏìå,8,1,,0,1,93,8,1,12.8,8,1,2,8,1,,0,1,20.0,8,1
2026/5/2 1:00:00,11.1,8,1,0,1,8,1,,,1,1,0,1,8,1,2.4,8,ìÏìå,8,1,,0,1,94,8,1,12.4,8,1,2,8,1,,0,1,20.0,8,1
2026/5/2 2:00:00,10.6,8,1,0,1,8,1,,,1,1,0,1,8,1,1.7,8,ìÏìÏìå,8,1,,0,1,94,8,1,12.0,8,1,2,8,1,,0,1,20.0,8,1
2026/5/2 3:00:00,10.9,8,1,0,1,8,1,,,1,1,0,1,8,1,3.1,8,ìÏìÏìå,8,1,,0,1,91,8,1,11.9,8,1,2,8,1,,0,1,20.0,8,1
2026/5/2 4:00:00,10.6,8,1,0,1,8,1,,,1,1,0,1,8,1,2.9,8,ìÏìÏìå,8,1,,0,1,90,8,1,11.5,8,1,2,8,1,,0,1,20.0,8,1
2026/5/2 5:00:00,11.2,8,1,0,1,8,1,,,1,1,0,1,8,1,2.7,8,ìÏìÏìå,8,1,,0,1,86,8,1,11.4,8,1,2,8,1,,0,1,20.0,8,1
2026/5/2 6:00:00,11.2,8,1,0,1,8,1,,,1,1,0.2,0,8,1,2.6,8,ìÏìÏìå,8,1,,0,1,87,8,1,11.6,8,1,2,8,1,,0,1,20.0,8,1
2026/5/2 7:00:00,13.2,8,1,0,1,8,1,,,1,1,1.0,0,8,1,1.8,8,ìÏìå,8,1,,0,1,83,8,1,12.6,8,1,2,8,1,,0,1,20.0,8,1
2026/5/2 8:00:00,17.5,8,1,0,1,8,1,,,1,1,1.0,0,8,1,2.2,8,ìÏìå,8,1,,0,1,70,8,1,14.0,8,1,2,8,1,,0,1,20.0,8,1
2026/5/2 9:00:00,20.8,8,1,0,1,8,1,,,1,1,1.0,0,8,1,3.1,8,ìÏêº,8,1,,0,1,53,8,1,13.0,8,1,2,8,1,,0,1,20.0,8,1
2026/5/2 10:00:00,22.2,8,1,0,1,8,1,,,1,1,1.0,0,8,1,4.9,8,êº,8,1,,0,1,46,8,1,12.3,8,1,2,8,1,,0,1,20.0,8,1
2026/5/2 11:00:00,22.5,8,1,0,1,8,1,,,1,1,1.0,0,8,1,6.1,8,êºñkêº,8,1,,0,1,48,8,1,13.1,8,1,2,8,1,,0,1,20.0,8,1
2026/5/2 12:00:00,23.4,8,1,0,1,8,1,,,1,1,1.0,0,8,1,4.7,8,êºñkêº,8,1,,0,1,48,8,1,13.8,8,1,2,8,1,,0,1,20.0,8,1
2026/5/2 13:00:00,23.2,8,1,0,1,8,1,,,1,1,0.8,0,8,1,4.6,8,êºñkêº,8,1,,0,1,45,8,1,12.8,8,1,4,8,1,,0,1,20.0,8,1
2026/5/2 14:00:00,22.3,8,1,0,1,8,1,,,1,1,0.4,0,8,1,5.3,8,êºñkêº,8,1,,0,1,44,8,1,11.8,8,1,4,8,1,,0,1,20.0,8,1
2026/5/2 15:00:00,21.6,8,1,0,1,8,1,,,1,1,0.0,0,8,1,4.9,8,êºñkêº,8,1,,0,1,43,8,1,11.1,8,1,4,8,1,,0,1,20.0,8,1
2026/5/2 16:00:00,21.5,8,1,0,1,8,1,,,1,1,0.3,0,8,1,5.5,8,êº,8,1,,0,1,46,8,1,11.8,8,1,4,8,1,,0,1,20.0,8,1
2026/5/2 17:00:00,20.6,8,1,0,1,8,1,,,1,1,0.8,0,8,1,5.9,8,êº,8,1,,0,1,50,8,1,12.1,8,1,4,8,1,,0,1,20.0,8,1
2026/5/2 18:00:00,20.0,8,1,0,1,8,1,,,1,1,0.4,0,8,1,3.2,8,êºñkêº,8,1,,0,1,59,8,1,13.8,8,1,4,8,1,,0,1,20.0,8,1
2026/5/2 19:00:00,18.5,8,1,0,1,8,1,,,1,1,0.1,0,8,1,3.8,8,êºñkêº,8,1,,0,1,70,8,1,14.9,8,1,2,8,1,,0,1,20.0,8,1
2026/5/2 20:00:00,18.2,8,1,0,1,8,1,,,1,1,0,1,8,1,1.6,8,ìÏêº,8,1,,0,1,72,8,1,15.0,8,1,4,8,1,,0,1,20.0,8,1
2026/5/2 21:00:00,17.3,8,1,0,1,8,1,,,1,1,0,1,8,1,1.5,8,ìÏìÏìå,8,1,,0,1,75,8,1,14.8,8,1,4,8,1,,0,1,20.0,8,1
2026/5/2 22:00:00,16.8,8,1,0,1,8,1,,,1,1,0,1,8,1,1.5,8,ìÏìÏìå,8,1,,0,1,78,8,1,14.9,8,1,4,8,1,,0,1,20.0,8,1
2026/5/2 23:00:00,16.3,8,1,0,1,8,1,,,1,1,0,1,8,1,0.4,8,ìåìÏìå,8,1,,0,1,82,8,1,15.2,8,1,4,8,1,,0,1,20.0,8,1
2026/5/3 00:00:00,16.3,8,1,0,1,8,1,,,1,1,0,1,8,1,0.5,8,êº,8,1,,0,1,84,8,1,15.6,8,1,4,8,1,,0,1,20.0,8,1
2026/5/3 1:00:00,15.6,8,1,0,1,8,1,,,1,1,0,1,8,1,1.0,8,ìÏìÏìå,8,1,,0,1,87,8,1,15.4,8,1,4,8,1,,0,1,20.0,8,1
2026/5/3 2:00:00,15.4,8,1,0,1,8,1,,,1,1,0,1,8,1,0.3,8,ìÏìÏìå,8,1,,0,1,88,8,1,15.4,8,1,4,8,1,,0,1,20.0,8,1
2026/5/3 3:00:00,15.3,8,1,0,1,8,1,,,1,1,0,1,8,1,1.3,8,ìåìÏìå,8,1,,0,1,88,8,1,15.3,8,1,4,8,1,,0,1,20.0,8,1
2026/5/3 4:00:00,15.4,8,1,0,1,8,1,,,1,1,0,1,8,1,0.9,8,ñkêº,8,1,,0,1,89,8,1,15.6,8,1,4,8,1,,0,1,20.0,8,1
2026/5/3 5:00:00,16.1,8,1,0,1,8,1,,,1,1,0,1,8,1,1.6,8,ìÏìå,8,1,,0,1,76,8,1,13.9,8,1,4,8,1,,0,1,20.0,8,1
2026/5/3 6:00:00,15.5,8,1,0,1,8,1,,,1,1,0.0,0,8,1,1.8,8,ìÏìÏìå,8,1,,0,1,87,8,1,15.3,8,1,4,8,1,,0,1,20.0,8,1
2026/5/3 7:00:00,16.4,8,1,0,1,8,1,,,1,1,0.0,0,8,1,1.4,8,êºìÏêº,8,1,,0,1,78,8,1,14.5,8,1,4,8,1,,0,1,20.0,8,1
2026/5/3 8:00:00,17.3,8,1,0.0,0,8,1,,,1,1,0.0,0,8,1,1.5,8,êº,8,1,,0,1,73,8,1,14.4,8,1,10,8,1,,0,1,20.0,8,1
2026/5/3 9:00:00,18.2,8,1,0.0,0,8,1,,,1,1,0.0,0,8,1,0.4,8,ìÏìå,8,1,,0,1,73,8,1,15.3,8,1,10,8,1,,0,1,20.0,8,1
2026/5/3 10:00:00,19.8,8,1,0.0,0,8,1,,,1,1,0.0,0,8,1,1.8,8,ìÏìÏìå,8,1,,0,1,58,8,1,13.4,8,1,4,8,1,,0,1,20.0,8,1
2026/5/3 11:00:00,19.6,8,1,0.0,0,8,1,,,1,1,0.0,0,8,1,6.2,8,ìÏ,8,1,,0,1,53,8,1,12.1,8,1,10,8,1,,0,1,20.0,8,1
2026/5/3 12:00:00,18.0,8,1,0.5,0,8,1,,,1,1,0.0,0,8,1,6.1,8,ìÏ,8,1,,0,1,69,8,1,14.2,8,1,10,8,1,,0,1,20.0,8,1
2026/5/3 13:00:00,18.4,8,1,0.0,0,8,1,,,1,1,0.0,0,8,1,5.3,8,ìÏ,8,1,,0,1,68,8,1,14.4,8,1,10,8,1,,0,1,20.0,8,1
2026/5/3 14:00:00,19.0,8,1,0.0,0,8,1,,,1,1,0.0,0,8,1,5.6,8,ìÏìÏêº,8,1,,0,1,67,8,1,14.7,8,1,10,8,1,,0,1,20.0,8,1
2026/5/3 15:00:00,17.6,8,1,3.5,0,8,1,,,1,1,0.0,0,8,1,4.3,8,ìÏìÏêº,8,1,,0,1,82,8,1,16.5,8,1,10,8,1,,0,1,13.7,8,1
2026/5/3 16:00:00,17.3,8,1,1.5,0,8,1,,,1,1,0.0,0,8,1,2.9,8,ìÏêº,8,1,,0,1,84,8,1,16.6,8,1,10,8,1,,0,1,5.09,8,1
2026/5/3 17:00:00,17.5,8,1,2.0,0,8,1,,,1,1,0.0,0,8,1,3.1,8,ìÏ,8,1,,0,1,87,8,1,17.4,8,1,10,8,1,,0,1,18.8,8,1
2026/5/3 18:00:00,18.1,8,1,0.5,0,8,1,,,1,1,0.0,0,8,1,3.6,8,ìÏ,8,1,,0,1,83,8,1,17.2,8,1,10,8,1,,0,1,20.0,8,1
2026/5/3 19:00:00,17.8,8,1,0.5,0,8,1,,,1,1,0.0,0,8,1,2.7,8,ìÏêº,8,1,,0,1,87,8,1,17.7,8,1,10,8,1,,0,1,18.9,8,1
2026/5/3 20:00:00,17.6,8,1,0.5,0,8,1,,,1,1,0,1,8,1,1.7,8,êºìÏêº,8,1,,0,1,90,8,1,18.1,8,1,10,8,1,,0,1,19.7,8,1
2026/5/3 21:00:00,17.2,8,1,1.5,0,8,1,,,1,1,0,1,8,1,1.8,8,êº,8,1,,0,1,96,8,1,18.8,8,1,10,8,1,,0,1,7.63,8,1
2026/5/3 22:00:00,17.3,8,1,0.5,0,8,1,,,1,1,0,1,8,1,4.4,8,êº,8,1,,0,1,90,8,1,17.8,8,1,10,8,1,,0,1,20.0,8,1
2026/5/3 23:00:00,17.1,8,1,0.0,0,8,1,,,1,1,0,1,8,1,5.0,8,êº,8,1,,0,1,82,8,1,16.0,8,1,4,8,1,,0,1,20.0,8,1
2026/5/4 00:00:00,17.0,8,1,0,1,8,1,,,1,1,0,1,8,1,4.1,8,êº,8,1,,0,1,80,8,1,15.5,8,1,4,8,1,,0,1,20.0,8,1
2026/5/4 1:00:00,17.1,8,1,0,1,8,1,,,1,1,0,1,8,1,3.9,8,ìÏêº,8,1,,0,1,78,8,1,15.2,8,1,4,8,1,,0,1,20.0,8,1
2026/5/4 2:00:00,16.7,8,1,0,1,8,1,,,1,1,0,1,8,1,1.9,8,ìÏêº,8,1,,0,1,80,8,1,15.2,8,1,4,8,1,,0,1,20.0,8,1
2026/5/4 3:00:00,16.9,8,1,0,1,8,1,,,1,1,0,1,8,1,2.2,8,ìÏêº,8,1,,0,1,76,8,1,14.6,8,1,4,8,1,,0,1,20.0,8,1
2026/5/4 4:00:00,16.9,8,1,0,1,8,1,,,1,1,0,1,8,1,3.2,8,ìÏìÏêº,8,1,,0,1,73,8,1,14.1,8,1,4,8,1,,0,1,20.0,8,1
2026/5/4 5:00:00,16.8,8,1,0,1,8,1,,,1,1,0,1,8,1,2.5,8,ìÏêº,8,1,,0,1,72,8,1,13.8,8,1,4,8,1,,0,1,20.0,8,1
